,City,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,auki,NG,100,87,12.18,6.51,23.06,3.18
1,puerto ayora,AR,0,34,-51.62,-69.23,9.0,9.3
2,atuona,PF,1,73,-9.8,-139.03,26.26,4.913
3,katsuura,JP,40,55,33.93,134.5,19.0,6.2
4,port alfred,CD,74,47,-7.04,29.76,19.4,1.23
5,hilo,US,1,51,19.71,-155.08,30.0,3.6
6,karratha,AU,22,14,-20.74,116.85,34.13,3.76
7,qaanaaq,GL,94,67,77.48,-69.36,-7.44,5.687
8,otavi,NA,0,17,-19.64,17.34,19.65,2.153
9,boca do acre,IT,90,93,45.68,8.41,16.11,1.5
10,bluff,AU,12,21,-23.58,149.07,27.25,4.17
11,udachnyy,RU,90,92,66.42,112.4,-8.0,4.0
12,tasiilaq,GL,100,75,65.61,-37.64,5.0,7.2
13,bonavista,CA,100,82,48.65,-53.11,12.22,6.26
14,bryan,US,1,32,30.67,-96.37,29.0,1.5
15,kapaa,US,40,70,22.08,-159.32,29.0,5.7
16,nome,US,1,57,30.04,-94.42,27.22,1.5
17,rikitea,PF,100,87,-23.12,-134.97,19.28,5.052
18,ushuaia,AR,75,80,-54.81,-68.31,4.0,12.9
19,bridlington,GB,0,87,54.08,-0.19,11.11,7.7
20,mersin,TR,0,93,36.81,34.63,18.0,1.0
21,santa maria,PH,0,68,17.49,120.43,28.13,3.8
22,kununurra,AU,8,61,-15.77,128.74,28.0,1.5
23,paamiut,GL,100,92,61.99,-49.67,4.42,7.31
24,skjervoy,NO,99,63,70.03,20.97,4.23,6.59
25,kasiri,SL,75,83,8.94,-13.11,26.0,2.1
26,saskylakh,RU,79,95,71.97,114.09,-9.59,3.33
27,panama city,PA,40,74,8.97,-79.53,30.56,2.1
28,cape town,CL,0,39,-36.41,-71.9,19.0,3.1
29,pokrovsk,RU,100,94,61.48,129.14,-0.88,4.046
30,dehloran,IR,0,27,32.69,47.27,26.18,2.81
31,tuktoyaktuk,CA,75,66,69.44,-133.03,0.0,4.1
32,kahului,US,20,51,20.89,-156.47,30.0,3.1
33,busselton,AU,100,62,-33.64,115.35,15.0,6.3
34,opportunity,US,40,33,46.11,-112.83,14.0,7.2
35,punta arenas,PH,40,83,14.18,121.12,27.22,1.5
36,vanavara,RU,16,67,60.35,102.28,-5.65,4.01
37,hermanus,ZA,72,84,-34.42,19.24,13.33,8.11
38,lagoa,PT,0,88,37.14,-8.45,22.22,2.6
39,lawrence,US,1,46,38.97,-95.24,22.0,5.7
40,albany,US,75,66,42.65,-73.75,14.0,2.6
41,bambous virieux,MU,40,78,-20.26,57.41,22.0,6.7
42,tabuk,PH,48,78,17.41,121.44,20.77,2.47
43,carnarvon,ZA,0,40,-30.97,22.13,13.07,5.53
44,kruisfontein,ZA,17,74,-34.0,24.73,15.56,4.569
45,college,US,90,86,64.86,-147.8,2.78,1.5
46,vaini,IN,100,91,15.34,74.49,23.57,1.14
47,barcelos,BR,61,87,-0.97,-62.93,24.56,0.49
48,san quintin,ML,78,48,13.3,-4.9,27.95,5.02
49,soyo,AO,88,86,-6.13,12.37,24.98,5.76
50,chuy,UY,17,74,-33.69,-53.46,13.94,1.62
51,zhigansk,RU,47,89,66.77,123.37,-8.89,4.58
52,talnakh,RU,11,85,69.49,88.39,-7.0,4.0
53,namibe,AO,98,87,-15.19,12.15,19.52,5.26
54,whitehorse,CA,90,68,60.72,-135.06,0.0,4.6
55,mataura,NZ,100,98,-46.19,168.86,11.11,1.76
56,pevek,RU,100,81,69.7,170.27,-0.98,6.71
57,cuenca,EC,75,77,-2.9,-79.0,15.0,1.0
58,chokurdakh,RU,24,93,70.62,147.9,-13.57,0.736
59,mar del plata,CN,0,80,29.86,90.73,-1.14,1.86
60,cochrane,CL,24,95,-47.25,-72.57,-1.68,3.246
61,arraial do cabo,BR,40,93,-22.84,-46.65,18.0,5.7
62,xuddur,SO,94,75,4.12,43.89,24.6,4.37
63,escanaba,US,75,71,45.75,-87.06,16.11,4.6
64,jizan,SA,40,70,16.89,42.56,31.0,2.1
65,mareeba,AU,20,69,-16.99,145.42,28.33,4.6
66,makakilo city,US,90,78,21.35,-158.09,29.0,1.5
67,barrow,AR,30,54,-38.31,-60.23,9.38,2.54
68,tuatapere,NZ,100,98,-46.13,167.69,11.11,0.042
69,callaway,US,1,45,46.98,-95.91,22.0,6.2
